run_id,seed,epochs,batch_size,lr,device,wall_time_s,test_loss,test_accuracy
1,42,80,64,0.001,cpu,37.56,0.174395,0.956811
2,43,80,64,0.0005,cpu,36.11,0.216721,0.960133
3,44,80,64,0.0002,cpu,35.96,0.220244,0.956811
4,45,80,64,0.001,cpu,36.24,0.211582,0.956811
5,46,80,64,0.0005,cpu,36.18,0.211392,0.956811
6,47,80,64,0.0002,cpu,36.16,0.263059,0.960133
7,48,80,64,0.001,cpu,37.06,0.215551,0.960133
8,49,80,64,0.0005,cpu,36.26,0.259389,0.963455
9,50,80,64,0.0002,cpu,36.28,0.263499,0.960133
10,51,80,64,0.001,cpu,37.78,0.309037,0.946844
11,52,80,64,0.0005,cpu,37.48,0.321429,0.956811
12,53,80,64,0.0002,cpu,36.94,0.374329,0.956811
13,54,80,64,0.001,cpu,36.22,0.328378,0.960133
14,55,80,64,0.0005,cpu,37.53,0.328562,0.963455
15,56,80,64,0.0002,cpu,37.75,0.410708,0.956811
16,57,80,64,0.001,cpu,36.15,0.308805,0.960133
17,58,80,64,0.0005,cpu,36.37,0.331705,0.953488
18,59,80,64,0.0002,cpu,36.20,0.349567,0.960133
19,60,80,64,0.001,cpu,36.32,0.296473,0.950166
20,61,80,64,0.0005,cpu,36.33,0.334994,0.953488
21,62,80,64,0.0002,cpu,37.57,0.345124,0.956811
22,63,80,64,0.001,cpu,35.37,0.345120,0.946844
23,64,80,64,0.0005,cpu,35.57,0.371065,0.953488
24,65,80,64,0.0002,cpu,35.42,0.375027,0.950166
25,66,80,64,0.001,cpu,35.30,0.373407,0.960133
26,67,80,64,0.0005,cpu,35.29,0.447821,0.940199
27,68,80,64,0.0002,cpu,35.24,0.402894,0.956811
28,69,80,64,0.001,cpu,37.57,0.391506,0.953488
29,70,80,64,0.0005,cpu,39.60,0.367156,0.960133
30,71,80,64,0.0002,cpu,35.57,0.412160,0.956811
